,uid,price,suv_prob,vert_prob,sedan_prob,coupe_prob,hatchback_prob,window_damage_prob,door_damage_prob,bumper_damage_prob,hood_damage_prob,excellent_cond_prob,average_cond_prob,year,make,model_name,trim,mileage,title_status,transmission,engine_cylinders,displacement
511,7864972219,2950.0,0.92626953125,0.267578125,0.69873046875,0.10693359375,0.65673828125,0.2159423828125,0.2091064453125,0.319580078125,0.43701171875,0.71728515625,0.52880859375,2006,Volvo,XC 90,,180000,Clean,Automatic,5,
512,7864971130,1950.0,0.74462890625,0.1259765625,0.54345703125,0.0452880859375,0.91064453125,0.311279296875,0.471923828125,0.1231689453125,0.392333984375,0.5234375,0.35986328125,2011,Nissan,Leaf,,66000,California Clean Title,Automatic FWD,,
513,7864913401,4250.0,0.4521484375,0.27587890625,0.7333984375,0.0288238525390625,0.56396484375,0.31982421875,0.2303466796875,0.149169921875,0.55419921875,0.71826171875,0.4345703125,2006,Toyota,Corolla LE,LE,201000,California Clean Title,Automatic,4,1.8
514,7864906902,4500.0,0.98291015625,0.1114501953125,0.322021484375,0.06390380859375,0.61181640625,0.410400390625,0.3544921875,0.1427001953125,0.41943359375,0.6494140625,0.4921875,2007,Chevy,Tahoe LS SUV,,149000,Clean,Automatic,8,5.3
515,7864905870,4500.0,0.198486328125,0.262451171875,0.947265625,0.0240325927734375,0.345947265625,0.41357421875,0.22412109375,0.07330322265625,0.300537109375,0.6640625,0.391357421875,2004,Toyota,Corolla Ce,,130000,California Clean Title,5Spd Manual Shifts Smooth,4,1.8
516,7864905195,3950.0,0.52783203125,0.365234375,0.724609375,0.0718994140625,0.413330078125,0.3193359375,0.1683349609375,0.0987548828125,0.697265625,0.630859375,0.5654296875,2007,Toyota,Scion Tc Coupe,,130000,Clean,Automatic,4,
517,7864904980,4750.0,0.671875,0.2646484375,0.94873046875,0.1123046875,0.1075439453125,0.1854248046875,0.22021484375,0.0254058837890625,0.0723876953125,0.7734375,0.261474609375,2007,Ford,Crown Victoria LX,LX,115000,Clean,Automatic,8,
518,7864904785,4250.0,0.51708984375,0.107421875,0.490966796875,0.075927734375,0.6875,0.3115234375,0.39306640625,0.1776123046875,0.6083984375,0.525390625,0.42919921875,2008,Nissan,Altima Coupe S,S,174000,California Clean Title,6 Spd Manual,4,2.5
519,7864876044,4950.0,0.57275390625,0.1624755859375,0.880859375,0.042724609375,0.55615234375,0.2144775390625,0.337158203125,0.12359619140625,0.466796875,0.7490234375,0.3466796875,2010,Volvo,V50 Wagon,,140000,California Clean Title,Automatic,5,
520,7864874967,4750.0,0.47314453125,0.0531005859375,0.43310546875,0.035003662109375,0.86083984375,0.2288818359375,0.330810546875,0.1458740234375,0.48583984375,0.67529296875,0.420654296875,2006,Toyota,Corolla Matrix Hatchback,,175000,clean,automatic,4,
521,7864874222,3950.0,0.87548828125,0.1585693359375,0.430908203125,0.0292510986328125,0.50927734375,0.33935546875,0.28857421875,0.263916015625,0.32421875,0.56640625,0.40283203125,2001,Subaru,Forester L,L,137000,California Clean Title,Automatic,4,2.5
522,7864873613,4250.0,0.9794921875,0.6005859375,0.6259765625,0.050933837890625,0.406005859375,0.4111328125,0.2342529296875,0.5869140625,0.411376953125,0.6865234375,0.337646484375,2005,Toyota,Tundra,SR5 Double Cab,290000,California Clean Title,Automatic,8,4.7
523,7864873277,2750.0,0.50146484375,0.157958984375,0.7822265625,0.025604248046875,0.646484375,0.474853515625,0.29248046875,0.055206298828125,0.5361328125,0.67626953125,0.4013671875,2007,Ford,Focus ZX4 SE,,155000,clean,automatic,4,2.0
524,7864872236,2750.0,0.99462890625,0.0567626953125,0.486083984375,0.01503753662109375,0.25830078125,0.260498046875,0.283203125,0.0361328125,0.1595458984375,0.71484375,0.398193359375,2002,Ford,Explorer XLT,XLT,205000,California Clean Title,Automatic,6,4
525,7864871186,9995.0,0.72900390625,0.489990234375,0.9326171875,0.39892578125,0.267333984375,0.5390625,0.285888671875,0.2388916015625,0.3623046875,0.59765625,0.63623046875,2016,Jaguar,XF,35T Supercharged,114000,clean,Automatic,6,3.0
526,7864869317,8950.0,0.36767578125,0.84228515625,0.52587890625,0.76904296875,0.367431640625,0.270263671875,0.4970703125,0.11767578125,0.7998046875,0.78125,0.32421875,2005,Lexus,Sc430 Convertible,Pebble Beach Edition / Full Badges,170000,Clean,Automatic,8,
527,7864868994,4750.0,0.9560546875,0.51904296875,0.054046630859375,0.055938720703125,0.055389404296875,0.09796142578125,0.07867431640625,0.0784912109375,0.7109375,0.5791015625,0.328125,2000,Toyota,Tundra,SR5,212000,clean,Automatic,,
528,7864867698,1495.0,0.073974609375,0.031463623046875,0.38330078125,0.02691650390625,0.8388671875,0.2265625,0.294921875,0.045318603515625,0.324462890625,0.365234375,0.359619140625,2008,Kia,Rio,,144000,Clean,Manual,,
529,7864867540,4250.0,0.3056640625,0.420166015625,0.896484375,0.08056640625,0.310791015625,0.27978515625,0.28955078125,0.240478515625,0.5615234375,0.71630859375,0.234375,2007,Lexus,Is350,,205000,Clean,Automatic,6,3.5
530,7864866767,2450.0,0.9921875,0.330078125,0.36474609375,0.03411865234375,0.385986328125,0.303466796875,0.262939453125,0.10321044921875,0.3134765625,0.65966796875,0.403076171875,2002,Ford,Explorer,XLT,225000,Clean,Automatic,6,4.0
531,7864866240,4950.0,0.97900390625,0.366943359375,0.335205078125,0.038665771484375,0.2144775390625,0.21728515625,0.174560546875,0.0347900390625,0.0916748046875,0.71435546875,0.366455078125,2004,Ford,F-150,,240000,branded/salvage,Automatic,8,
532,7864865493,2450.0,0.5009765625,0.424072265625,0.90478515625,0.4326171875,0.199951171875,0.56640625,0.391357421875,0.02752685546875,0.465576171875,0.681640625,0.395263671875,1994,Infiniti,Q45,,175000,Clean California title,Automatic,6,4.5
533,7861205716,1500.0,0.9423828125,0.89404296875,0.81640625,0.403564453125,0.62646484375,0.29443359375,0.08697509765625,0.028106689453125,0.336181640625,0.6318359375,0.43603515625,,,,,,,,,
534,7864052873,45800.0,0.5693359375,0.94775390625,0.2822265625,0.477294921875,0.30810546875,0.2330322265625,0.2366943359375,0.244140625,0.5234375,0.62353515625,0.5673828125,,,,,17000,CLEAN TITLE,Automatic Transmission,6,
535,7863467682,3450.0,0.56591796875,0.10797119140625,0.92626953125,0.394775390625,0.387451171875,0.36083984375,0.285400390625,0.022552490234375,0.29736328125,0.7421875,0.1763916015625,2008,Audi,A4,,165000,Clean California title,Automatic,4,2.0
536,7860099417,16800.0,0.2305908203125,0.2222900390625,0.615234375,0.113525390625,0.78271484375,0.461181640625,0.6689453125,0.2042236328125,0.55712890625,0.436279296875,0.6728515625,2018,Honda,Civic LX,,46000,clean,,4,2.0
537,7862641865,4600.0,0.7314453125,0.271240234375,0.9267578125,0.11322021484375,0.51171875,0.1575927734375,0.22216796875,0.172119140625,0.1240234375,0.78564453125,0.488525390625,2021,Volvo,,,,clean,,,
538,7859654962,13.0,0.6142578125,0.053192138671875,0.5576171875,0.06353759765625,0.6220703125,0.252197265625,0.2041015625,0.062347412109375,0.2467041015625,0.67578125,0.280029296875,2016,Honda,Civic EX,,44000,clean,Automatic,,
539,7862196738,1.0,0.196044921875,0.1837158203125,0.27978515625,0.28076171875,0.1697998046875,0.0100860595703125,0.022735595703125,0.0276031494140625,0.03375244140625,0.470947265625,0.7890625,"['99-02', '03-05', '96-99', '00-05', '99-01', '02-07']","['Accord', 'Civic', 'Odyssey']","['Accord', 'Civic', 'Odyssey']",[],[],[],"['4spd', '5spd']",[6],[]
540,7861700730,4250.0,0.38818359375,0.25537109375,0.35009765625,0.10015869140625,0.7783203125,0.533203125,0.400146484375,0.08148193359375,0.327392578125,0.62158203125,0.2181396484375,2014,Chevy,Sonic Lt,,67000,Clean California title,Automatic,0,
541,7861582121,2950.0,0.7080078125,0.890625,0.32275390625,0.0496826171875,0.276123046875,0.1949462890625,0.1939697265625,0.1781005859375,0.292724609375,0.79931640625,0.470703125,1999,DODGE,RAM 1500,Laramie Edition,440000,Clean,Automatic,,5.2
542,7859045220,2500.0,0.1195068359375,0.67578125,0.50390625,0.12139892578125,0.560546875,0.5830078125,0.312255859375,0.12066650390625,0.8017578125,0.2900390625,0.25146484375,,,,,,clean,,,
543,7859869556,6500.0,0.720703125,0.057098388671875,0.5732421875,0.04705810546875,0.79638671875,0.251220703125,0.12841796875,0.318359375,0.2587890625,0.367919921875,0.7607421875,2017,Ford,Fiesta,,62000,Clean Title,Automatic Transmission,,
544,7859720320,7350.0,0.343505859375,0.85205078125,0.51220703125,0.1715087890625,0.1524658203125,0.06298828125,0.1806640625,0.0188751220703125,0.57177734375,0.5703125,0.57373046875,1993,Saab,900 turbo convertible,,,clean,Manual,4,
545,7858505691,8999.0,0.94091796875,0.61962890625,0.7626953125,0.32275390625,0.7685546875,0.1318359375,0.34326171875,0.1370849609375,0.471923828125,0.68505859375,0.67529296875,2009,SUBARU,Outback,SPORT edition,,,,,
546,7858245454,4400.0,0.494384765625,0.68798828125,0.81201171875,0.6123046875,0.560546875,0.583984375,0.67333984375,0.34765625,0.1480712890625,0.77001953125,0.6689453125,2005,BMW,330ci E46 model,,254000,Clean Title,,,
547,7865728660,23500.0,0.76611328125,0.442138671875,0.70166015625,0.1348876953125,0.93408203125,0.372802734375,0.17138671875,0.3876953125,0.5830078125,0.7958984375,0.74169921875,,Toyota,Corolla LE Sedan Hybrid,,,,,,
548,7865686684,4800.0,0.28759765625,0.054351806640625,0.93017578125,0.033477783203125,0.411865234375,0.426025390625,0.157958984375,0.075927734375,0.1658935546875,0.62890625,0.1802978515625,200K range,,not specified,,162680,Clean CA title,Auto transmission,,
549,7865655713,3000.0,0.392333984375,0.12274169921875,0.91357421875,0.11212158203125,0.48681640625,0.12200927734375,0.1705322265625,0.34326171875,0.35302734375,0.7314453125,0.734375,,,,,185000,clean,,,
550,7865535928,12500.0,0.7265625,0.331787109375,0.79248046875,0.060333251953125,0.52294921875,0.460205078125,0.31640625,0.52978515625,0.57763671875,0.619140625,0.380126953125,2013,Toyota,Corolla S,S,122500,clean,Automatic,4,
551,7865496722,12500.0,0.642578125,0.11578369140625,0.609375,0.039520263671875,0.7802734375,0.3037109375,0.203857421875,0.360107421875,0.31591796875,0.441162109375,0.86572265625,Not available,Toyota,Corolla,,Few miles,Clean title,,,
552,7865464782,9500.0,0.642578125,0.58740234375,0.60791015625,0.51513671875,0.50244140625,0.26708984375,0.67431640625,0.282958984375,0.120361328125,0.7958984375,0.607421875,1983,Toyota,Corolla DX Liftback,DX,28000,clean,Automatic,4,1.3
553,7865433524,4400.0,0.50244140625,0.380615234375,0.91748046875,0.0999755859375,0.375,0.1900634765625,0.433349609375,0.1644287109375,0.1383056640625,0.7001953125,0.8076171875,,,,,,Clean,Automatic,4,1.8
554,7865326141,15000.0,0.40771484375,0.290771484375,0.51611328125,0.15087890625,0.7412109375,0.5048828125,0.296142578125,0.30908203125,0.408447265625,0.560546875,0.2430419921875,2017,Toyota,Corolla,,60,clean,Automatic,,
555,7865323987,3500.0,0.5693359375,0.268798828125,0.51123046875,0.06500244140625,0.443603515625,0.285400390625,0.09564208984375,0.123046875,0.1416015625,0.87744140625,0.6025390625,1992,Corolla,Wagon,,0,Clean title,,0,0
556,7865306078,4350.0,0.169921875,0.361328125,0.9169921875,0.026580810546875,0.564453125,0.70068359375,0.263916015625,0.45947265625,0.3828125,0.50830078125,0.295654296875,2010,Toyota,Corolla LE,LE,213112,Clean Title,Automatic,4,1.8
557,7865278640,2000.0,0.08111572265625,0.0823974609375,0.84765625,0.034881591796875,0.41552734375,0.318603515625,0.11907958984375,0.6259765625,0.344482421875,0.31689453125,0.2110595703125,2009,Toyota,Corolla,,,clean,,,
558,7865238342,6100.0,0.476318359375,0.6640625,0.90869140625,0.11358642578125,0.68017578125,0.415771484375,0.74267578125,0.0989990234375,0.1199951171875,0.794921875,0.452880859375,,,,,,,,,
559,7865224898,7900.0,0.34814453125,0.06689453125,0.64453125,0.168212890625,0.8271484375,0.335205078125,0.473388671875,0.04541015625,0.144287109375,0.413330078125,0.22119140625,2017,Corolla,corolla,,0,clean,,0,
560,7865069221,1888.0,0.1949462890625,0.1629638671875,0.8701171875,0.1771240234375,0.48046875,0.16748046875,0.1031494140625,0.544921875,0.247314453125,0.71875,0.279541015625,,,,,,clean,,,
561,7865036159,4300.0,0.734375,0.32958984375,0.86083984375,0.07861328125,0.277587890625,0.309814453125,0.467529296875,0.037200927734375,0.126708984375,0.56591796875,0.44287109375,2004,Toyota,Corolla,,137500,,,,
562,7864924643,9400.0,0.6005859375,0.219482421875,0.53173828125,0.018585205078125,0.75390625,0.351318359375,0.22216796875,0.1552734375,0.2022705078125,0.552734375,0.30126953125,2015,Toyota,Corolla LE ECO Premium,LE ECO Premium,160000,clean,,,
563,7864913401,4250.0,0.4521484375,0.27587890625,0.7333984375,0.0288238525390625,0.56396484375,0.31982421875,0.2303466796875,0.149169921875,0.55419921875,0.71826171875,0.4345703125,2006,Toyota,Corolla LE,,201000,California Clean Title,Automatic,4,1.8
564,7864905870,4500.0,0.198486328125,0.262451171875,0.947265625,0.0240325927734375,0.345947265625,0.41357421875,0.22412109375,0.07330322265625,0.300537109375,0.6640625,0.391357421875,2004,Toyota,Corolla Ce,,130000,California Clean Title,5Spd Manual Shifts Smooth,4,
